#	Tc	i	j	k_{i,j}
200	3	2	7.68881962060792216269726821546140875260672765194711546189365820497409328952572620075752043936198074795955541754383060762165185464582506191902994277900163494872050452642546398191962216360847033940581e10
200	3	3	-3.70262438845611438736684330700547190003608813038123039146167833971931769951767647400545724516274548623653575455539724495140165583893797508869917676087661898914439761231700192310298578387739058197716e11
200	3	4	-6.23104967483519456776095253280463607583443201767158360050336458872778717207360463740159935523677713401382945020923047385219273615432031643352517452007808283794324989938846601650588731821607736187e-13
200	3	5	3.9481275813661586770734835354113787114586724593258026742006630250395015284392091688751849183334654514880998523901055935157034913180520153290725945817315833903051836837523737385597293149656152083865e-12
200	4	1	-0.00012814100305351540510050710817873615326051342361501143238389400727302368057579120631641995961745160106700905472473054283500257707917142217382275441177567456023601889830469663217432021906210656420461
200	4	2	-0.0009681899343904859689572782480524683020050074913073081392339947887819527156810404723285560030073714585351476166214926466079720251816206625232257890058930028167350139647940314389533555981685291152529
200	4	3	0.005539966471723747534998276107015238416050896840269936844545349813713458256069526625399697283394570323028687077781346431014553927876865859757619488135123699899369177107771365433020759217066880635541
200	4	4	-1.575295989270248675402585929431086948507616163505382152651445331779930571960509279735255760717583348791565544545567789473609168213578242914070221641719129788367612404057153406948496337353665981737626e11
200	4	5	2.645986302483459954980154224086551242860845901498937694570323189741146210315992768633595231335798904271061534381085880594981135712011195463731471967349980908149220190924483427459889672591467072754825e11
200	5	1	-0.00017169378620115107190619617520265986811038551692651153352360950924685613908334334439914398284624405540176885921943281494824630738766420330162426234369101153018382899111828573392285330130946404454958
200	5	2	-0.0023093047117932491843103258932174282999248862086492332985896831218981063374403238069717995994462373458278193753442218136401216502464176398101721212785526069967483629144165850627918453506272880306423
200	5	3	0.027811909351023343302890169612986563154743263806737553291130795580219651570232411773302931678874350131759591053363901029323466413643047596418741554269459813840537572919376859423440976433554623392925
200	5	4	1.575295989270248675402592509255800687548988804199942461968386657904368618612962317108541335989989945619211983360200248527394094117617099210016213814831445022461608706238255779099411528746904989292338e11
200	5	5	-2.645986302483459954980280005336042339801486728510707447238184265747218313782718395426593322486971041400805874442856896797350331121761992968801840071459490435447427906575056115500752319722535547633589e11
250	1	1	-1.724453061640042096490729224466877276895297916453252274984405314166187596581448264926604915127383320674727621145096398674413060683268472869614346426232704402642421893025465208857747751827112348680206e11
250	1	2	9.14973683316991928144457169508282195128526220756782323223019360131514511196078283684755759471413383322179034521851294409557350535219007874097302267081641861050974314619869914260474732776115530296743e10
250	1	3	-3.05215741918134065981967366675498173917291816866597333377893336980857938937821110493202761365806721910062120913039614491401065594064010553548464864819452765380170348607265241100654749547431305174591e10
250	1	4	-9.328030816364540367829776691687144578098311328019914085522218434268473839942013046996552718704807711855752120301297163375386965927870377657793406774166483234543955620007938562419970470264609427288e-11
250	1	5	1.40464865641495479356650370711210692854124436252743117961576660328215278153368725848145278111001309833347632236135499408530794460833480562256624234090999575251714163432434302466350962934035481916034e-9
250	2	1	1.558615481817509248703260561454201183050471423943545121774411085008692882999057024984563307253355124104012930382419754302122559527584958054219993666002201417402558585981760889549902417436232154236726e11
250	2	2	-1.80121026719036691631451139409131729225685177723369530637539537252918459257370683550645035464584671827368633651937908589149688599992830812555086452858273796153120693719870586725221059603394723217238e11
250	2	3	4.66918113177862309413613433645934795085857699407303502429558252887598454720961833562150407664178613660664486916434861584474386429686704019234639913993193890911718689604707636039455188747173521435479e11
250	2	4	1.1380077461207628371392581636267453891757575661739757274899581331894276047118177191811531807773632432162251586368613076427057711825201963991855813269870110972765633036807272656573886103062610539147e-10
250	2	5	2.6597283632991839042641288064584592832419388287588767361956573131429106080214797100532755210797654084793786964509252535121394930787173015166675699493853180033465596176531485181286451379578276985565e-9
250	3	1	1.658375798223722904301463100075386686044890808652805992864815840688078531640641778989416550414926170980189887159228249700988184867413703944217885394278005222172710307926371506133067688012822819687629e10
250	3	2	8.86236583873947440085152623879069595366773441184924504572868847249689080968464519480466054096052953182503768390547301913878194934537865168437713476162936767443812554354875961960798807850930134460789e10
250	3	3	-4.363965389866316661649444865339666592025026586522794224068831036281960025186660812456937080163578756484837723214805616296995410415213768647562877868988914435638813938325827509459950333683290836226678e11
250	3	4	-5.469258648927798074044538462714450844780685076154007036335188725308772771150940046332783407178735702803916551071265643255205647206274707858050602855418308119249071516025448959058796232731161723027e-11
250	3	5	1.8668055442969632639105751766258968175153735997928722281449633532848203279692824355312323979351538768947412275295351877918059784866845728261298167941288389621404614346011087773499797678547174731563e-9
250	4	1	0.0133144030098947723661338884653215575763548234318908285269534716393501313068995568370301100911568997383017560245433818691812138530226005530888343552431592254175323430064044810572711046999970541631367
250	4	2	-0.045649523799830084267631831715720062561484861586385323141280176755183188742681530677762793995922576720924789888956180769378865654083412353479524192934754865445925481666334290107345242470912819413692
250	4	3	0.45694712463679076183172814096787610821614858752874767994048533524560322006052126161481414724190797213352765043388134082301939788978539642126917509177357386929352114919469587129302598751523421079523
250	4	4	-5.20430416786727111862346597427261108698687029710380304183926717702258394879527977717238632079973785197003221395530243054689214370796140067984501280777711066464812844534230640733130383683237518466925e10
250	4	5	4.944295689204677916300464904230311130240489256524307131837318200568132260040165003980238751290464866460031042504540364926915518472041066351757660114784090841605991003888935036656828998829951307013257e11
250	5	1	0.0027413327223405281476086355684196068663005689193736803417325701933560730030957264165278371784133049370801841946248850250332282442338215271814119470160683996891845264474520779025201427716378233934177
250	5	2	-0.011595667710009845335817992129068408239667280462898162060619782328413577134464361484199029103724062581026253304909766213477626044331709112704542503423238312158075415239960169202498016044360606328073
250	5	3	0.125816224890998793749953367406264823419504727585436758742856356240755512803055227145120031583589524216133843931379830418054502986708962966373654098406165219308117867410623704605666717132205878458797
250	5	4	5.204304167867271118626883186276695797057352030621937183370388597765018112642237603000069291363712627871550018273412341529389560792965350410048547709086053786172116641702021087712331230931601299534155e10
250	5	5	-4.944295689204677916359776729870422149857901333426271762130303768478924061479728876677337588465709360500690649505789688763991480935459220705650194276521457641259627294733176563836870625695737310214679e11
